1,Bayan Qagan,Zhongguan,2016-04-21,2016-05-01
2,Chongxian,Pashkovskiy,2010-03-04,2010-03-14
3,Potštát,Tijucas,2019-06-22,2019-08-17
4,Delicias,Burauen,2013-04-02,2013-05-30
5,Sabanagrande,Rozsypne,2016-01-13,2016-02-05
6,Tungawan,Jieshi,2016-01-23,2016-03-15
7,Rio Novo do Sul,Maha Sarakham,2018-02-24,2018-02-26
8,Hidalgo,Gongming,2019-09-28,2019-10-02
9,Cergy-Pontoise,Lembongan Kawan,2019-07-13,2019-07-20
10,Kislyakovskaya,Huayuanli,2015-02-04,2015-02-08
11,Inhambane,Sangiang,2012-01-06,2012-01-10
12,Alcainça,Jakartovice,2013-03-19,2013-05-10
13,Bharatpur,Fukui-shi,2016-08-29,2016-09-21
14,Hữu Lũng,Buliran,2012-12-19,2012-12-30
15,Sypniewo,Gandrungmangu,2019-06-30,2019-07-02
16,Akhmīm,Cergy-Pontoise,2015-07-01,2015-07-09
17,Taverny,Fucheng,2014-04-10,2014-06-04
18,Jarash,Tripoli,2010-05-10,2010-07-08
19,Setaka,Santiago do Cacém,2016-01-18,2016-02-19
20,Concordia,Shishan,2011-06-06,2011-07-20
21,Al ‘Awjah,Turar Ryskulov,2013-02-01,2013-03-28
22,Bringinanom,Lembung Tengah,2010-05-18,2010-06-09
23,Kokofata,Kangar,2012-11-10,2012-11-29
24,Huji,San Antonio,2015-01-12,2015-01-16
25,Tanūmah,Koper,2018-12-25,2019-01-25
26,Yuxarı Aran,København,2017-04-14,2017-05-11
27,Gaotieling,Horqueta,2015-01-30,2015-02-16
28,Taibai,Gesikan,2011-10-27,2011-11-29
29,San Miguel,San Francisco,2016-10-17,2016-11-04
30,San Carlos,Jovellanos,2018-03-18,2018-05-09
31,São Miguel,Phra Phutthabat,2019-04-14,2019-05-17
32,Santa Ana,Xinxu,2013-03-05,2013-03-31
33,Bela Vista,Curitiba,2011-12-11,2011-12-28
34,Tokonou,Rybnoye,2013-09-28,2013-10-26
35,Portalegre,Soledade,2010-02-03,2010-02-12
36,Amarillo,Ccatca,2019-03-31,2019-04-25
37,Villanueva,Kumlinge,2010-05-03,2010-06-04
38,Gaocheng,Rio Branco,2010-12-09,2011-01-10
